"fide_id","name","country","sex","title"
4639057,"Wegener, Olaf",GER,M,IM
4639197,"Wicht, Juergen",GER,M,CM
4639260,"Asendorf, Joachim, Dr.",GER,M,FM
4639316,"Lipinsky, Fabian",GER,M,IM
4639650,"Muschik, Benedikt",GER,M,FM
4640314,"Becker, Walter",GER,M,FM
4640365,"Quist, Sven Roy, Dr.",GER,M,CM
4640519,"Kunz, Konstantin",GER,M,FM
4640667,"Seuffert, Gabriel, Dr.",GER,M,FM
4640721,"Birkholz, Olga",GER,F,WFM
4640993,"Henrich, Thomas",GER,M,FM
4641531,"Sislian, Hanno",GER,M,FM
4641620,"Schatz, Christian",GER,M,CM
4641833,"Paehtz, Elisabeth",GER,F,GM
4641973,"Langheinrich, Ferenc",GER,M,IM
4642279,"Albert, Marion",GER,F,WFM
4642325,"Prusikin, Michael",GER,M,GM
4642473,"Fuchs, Heinz",GER,M,IM
4642740,"Ivic, Roman",CRO,M,FM
4643038,"Schubert, Thomas",GER,M,FM
4643267,"Bock, Andreas",GER,M,CM
4643372,"Proettel, Swen",GER,M,CM
4643410,"Wiechert, Hans",GER,M,FM
4643526,"Teumer, Joerg, Dr.",GER,M,CM
4643569,"Duppel, Matthias",GER,M,IM
4643887,"Huber, Philipp",GER,M,FM
4643909,"Gritsch, Christoph",GER,M,CM
4643992,"Boidman, Yuri",GER,M,IM
4644743,"Wegerle, Joerg",GER,M,IM
4644751,"Mueller, Maximilian",GER,M,FM
4644786,"Berger, Steve",GER,M,IM
4644875,"Wiesner, Gundula",GER,F,WFM
4644891,"Schenk, Andreas",GER,M,IM
4645367,"Roos, Michael",GER,M,IM
4645715,"Grafl, Florian, Dr.",GER,M,IM
4645804,"Lindner, Daniel",GER,M,CM
4645847,"Jacob, Gunnar",GER,M,FM
4645871,"Wippermann, Till",GER,M,IM
4645880,"Zschiedrich, Heiko",GER,M,CM
4646118,"Zickelbein, Eva Maria",GER,F,WFM
4646177,"Matevzic, Christian",GER,M,FM
4646193,"Margolin, Boris",GER,M,IM
4646207,"Gasthofer, Viktor",GER,M,IM
4646215,"Berezovsky, Igor",MNC,M,IM
4646258,"Sprenger, Jan Michael, Dr.",GER,M,GM
4646401,"Sandner, Gunter",GER,M,FM
4646410,"Markgraf, Alexander",GER,M,IM
4646576,"Mueller, Markus",GER,M,CM
4646614,"Germann, Heike",GER,F,WFM
4646630,"Uwira, Oliver",GER,M,FM
4646797,"Sadeghi, Behrang",GER,M,FM
4646851,"Loef, Dirk",GER,M,CM
4646908,"Peschlow, Patrick, Dr.",GER,M,FM
4647017,"Melkumjanc, Nikolaj",GER,M,FM
4647327,"Scheerer, Christoph",GER,M,IM
4647645,"Gazic, Josip",GER,M,FM
4647823,"Reichmann, Hendrik",GER,M,FM
4648099,"Weiss, Oliver",GER,M,FM
4648218,"Quast, Michael",GER,M,FM
4648234,"Teuber, Andreas",GER,M,CM
4648358,"Schmidt, Harald",GER,M,FM
4648498,"Kaufeld, Juergen",GER,M,FM
4648579,"Reuss, Andreas",GER,M,FM
4648935,"Luncescu, Christian, Dr.",GER,M,CM
4649435,"Jussupow, Nadja",GER,F,WFM
4649605,"Tran, Phat, Dr.",GER,M,FM
4649745,"Karst, Elmar",GER,M,FM
4650212,"Schmitz, Thorsten",GER,M,FM
4650239,"Drollinger, Dennis",GER,M,FM
4650409,"Wyrwich, Thomas, Dr.",GER,M,CM
4650433,"Dorst, Johannes",GER,M,FM
4650727,"Nordsieck, Thomas",GER,M,FM
4650832,"Bredemeier, Dirk",GER,M,FM
4650883,"Kocur, Alois",GER,M,FM
4650891,"Naiditsch, Arkadij",BUL,M,GM
4650905,"Levin, Felix",GER,M,GM
4651260,"Wahedi, Ahmad Siar",GER,M,FM
4651324,"Zumsande, Martin",GER,M,IM
4651332,"Voigt, Roland",GER,M,IM
4651340,"Buhmann, Rainer",GER,M,GM
4651588,"Ortmann, David",GER,M,FM
4651693,"Pitl, Gregory",GER,M,IM
4651820,"Benend, Andreas",GER,M,CM
4651901,"von Rahden, Arvid",GER,M,CM
4651910,"Eichner, Sebastian",GER,M,FM
4652304,"Prediger, Rupert",GER,M,FM
4652738,"Poetsch, Klaus",GER,M,CM
4652932,"Sanner, Dennis",GER,M,FM
4653300,"Jahnz, Fabian",GER,M,FM
4653327,"Gottstein, Claudius-Thomas",GER,M,CM
4653530,"Kritz, Leonid",GER,M,GM
4653831,"Schuette, Marc",GER,M,FM
4654129,"Lerch, Philipp",GER,M,FM
4654420,"Friedrichs, Klaus",GER,M,FM
4655060,"Zeitlein, Michael",GER,M,GM
4655150,"Gasthofer, Alexander",GER,M,IM
4655192,"Zaragatski, Ilja",GER,M,GM
4655290,"Langrock, Hannes",GER,M,IM
4655311,"Schuh, Dirk",GER,M,IM
4655524,"Duppel, Tina",GER,F,WIM
4655621,"Zesch, Ludwig",GER,M,FM
4655729,"Guttenthaler, Franz",GER,M,FM
4655737,"Koepke, Christian",GER,M,IM
4655893,"Armbruster, Alexander",GER,M,FM
4656091,"Boetzer, Detlef",GER,M,FM
4656385,"Fleischer, Frank",GER,M,CM
4656687,"Hein, Carsten",GER,M,CM
4656920,"Karger, Frank",GER,M,CM
4656954,"Klawa, Patrick",GER,M,FM
4656962,"Kloninger, Paul",GER,M,FM
4657101,"Svane, Rasmus",GER,M,GM
4657250,"Luther, Juergen",GER,M,CM
4657284,"Meier, David Geffrey",GER,M,CM
4657489,"Polischuk, Viktor",GER,M,FM
4657497,"Wenzel, Birger",GER,M,CM
4657527,"Priebe, Jan",GER,M,FM
4657594,"Rau, Hannes",GER,M,IM
4658051,"Seibold, Hubert, Dr.",GER,M,FM
4658060,"Seifert, Volker",GER,M,FM
4658582,"Gaehler, Cornelius",GER,M,CM
4658892,"Schmuecker, Marcus",GER,M,CM
4659252,"Gramlich, Sebastian",GER,M,FM
4659350,"Dahm, Jochen",GER,M,FM
4659414,"Wigger, Jochen",GER,M,FM
4659600,"Khenkin, Igor",GER,M,GM
4660170,"Offermann, Fernando",GER,M,CM
4661010,"Cofmann, Veaceslav",GER,M,FM
4661540,"Issel, Oliver",GER,M,CM
4661923,"Schenderowitsch, Michael",GER,M,FM
4661940,"Malek, Daniel",GER,M,FM
4661966,"Muranyi, Karl-Jasmin",GER,M,IM
4662024,"Silber, Henning",GER,M,FM
4662563,"Wolfsteiner, Helmut",GER,M,FM
4662571,"Pruefer, Stefan",GER,M,FM
4662580,"Pape, Manfred",GER,M,CM
4662644,"Leuranguer, Yannick",GER,M,FM
4662687,"Cordts, Ingo",GER,M,FM
4662997,"Rotstein, Arkadij",GER,M,GM
4663004,"Safyanowsky, Mark",GER,M,IM
4663098,"Seel, Christian, Dr.",GER,M,IM
4663195,"Gries, Volker",GER,M,CM
4663209,"Philipowski, Robert",GER,M,FM
4663306,"Schneider, Ilja",GER,M,IM
4663314,"Laubsch, Bernd",GER,M,FM
4663365,"Overbeck, Thorsten",GER,M,FM
4663527,"Braun, Arik",GER,M,GM
4663802,"Ries, Benjamin",GER,M,FM
4664060,"Mueller, Fabian",GER,M,FM
4664353,"Barpiyeva, Gulsana",KAZ,F,WFM
4664361,"Chen, Tsung",GER,M,FM
4664450,"Hoffmann, Paul",GER,M,IM
4664590,"Richter, Julia",GER,F,WFM
4664779,"Nothnagel, Markus",GER,M,CM
4664876,"Becker, Stefan",GER,M,CM
4665031,"Huhndorf, Arnold",GER,M,FM
4665538,"Walkewitz, Hubert",GER,M,CM
4665570,"Steinhagen, Bernd",GER,M,FM
4665597,"Hintze, Helge",GER,M,FM
4666135,"Maurer, Jochen",GER,M,FM
4667174,"Huch, Reiner",GER,M,FM
4667247,"Buchner, Rudolf",GER,M,FM
